Date,Open,High,Low,Close,Adj Close,Volume
1989-01-03,2.282970,2.292853,2.273087,2.282970,0.853359,5737133
1989-01-04,2.273087,2.307677,2.273087,2.302736,0.860748,5471525
1989-01-05,2.302736,2.307677,2.282970,2.282970,0.853359,7034818
1989-01-06,2.292853,2.322502,2.282970,2.292853,0.857053,7750694
1989-01-09,2.263204,2.273087,2.253321,2.253321,0.842276,14585674
1989-01-10,2.258262,2.273087,2.238496,2.258262,0.844123,6738854
1989-01-11,2.258262,2.278028,2.253321,2.268145,0.847818,4778414
1989-01-12,2.263204,2.302736,2.263204,2.282970,0.853359,5390578
1989-01-13,2.282970,2.302736,2.278028,2.282970,0.853359,5499350
1989-01-16,2.292853,2.307677,2.282970,2.297794,0.858901,4017005
1989-01-17,2.292853,2.302736,2.282970,2.292853,0.857053,3670450
1989-01-18,2.282970,2.297794,2.278028,2.287911,0.855206,9589714
1989-01-19,2.292853,2.292853,2.233555,2.253321,0.842276,18799987
1989-01-20,2.238496,2.243438,2.213789,2.223672,0.831194,9233040
1989-01-23,2.194023,2.233555,2.189081,2.218730,0.837536,12959141
1989-01-24,2.218730,2.263204,2.213789,2.253321,0.850594,10566139
1989-01-25,2.253321,2.268145,2.233555,2.248379,0.848728,12913608
1989-01-26,2.238496,2.273087,2.233555,2.273087,0.858055,17990515
1989-01-27,2.282970,2.287911,2.253321,2.263204,0.854324,14125286
1989-01-30,2.258262,2.263204,2.243438,2.263204,0.854324,13568774
1989-01-31,2.253321,2.278028,2.233555,2.278028,0.859920,9078734
1989-02-01,2.268145,2.312619,2.263204,2.282970,0.861785,11980186
1989-02-02,2.282970,2.292853,2.278028,2.282970,0.861785,7330781
1989-02-03,2.287911,2.292853,2.268145,2.292853,0.865516,7803816
1989-02-06,2.282970,2.297794,2.268145,2.292853,0.865516,8049187
1989-02-07,2.282970,2.307677,2.282970,2.292853,0.865516,11059411
1989-02-08,2.292853,2.332385,2.292853,2.327443,0.878574,8770123
1989-02-09,2.312619,2.327443,2.292853,2.297794,0.867381,6817272
1989-02-10,2.297794,2.297794,2.213789,2.243438,0.846863,30307138
1989-02-13,2.238496,2.248379,2.228613,2.233555,0.843132,15759408
1989-02-14,2.238496,2.278028,2.238496,2.263204,0.854324,8797949
1989-02-15,2.253321,2.263204,2.248379,2.248379,0.848728,9789552
1989-02-16,2.248379,2.253321,2.228613,2.238496,0.844998,8739768
1989-02-17,2.243438,2.243438,2.189081,2.203906,0.831940,27003480
1989-02-21,2.213789,2.233555,2.208847,2.223672,0.839402,8975021
1989-02-22,2.223672,2.228613,2.203906,2.203906,0.831940,7381373
